INFO 2024-05-16 20:47:14,361 autoreload Watching for file changes with StatReloader
DEBUG 2024-05-16 20:47:14,764 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1715804228.2292757
DEBUG 2024-05-16 20:47:14,765 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\reprlib.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,765 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\psycopg2\_psycopg.cp312-win_amd64.pyd first seen with mtime 1715804328.787279
DEBUG 2024-05-16 20:47:14,766 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\schemas\inspectors.py first seen with mtime 1715804272.723374
DEBUG 2024-05-16 20:47:14,767 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\management\sql.py first seen with mtime 1715804227.7833066
DEBUG 2024-05-16 20:47:14,767 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\functools.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,768 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\middleware\__init__.py first seen with mtime 1715804228.0813873
DEBUG 2024-05-16 20:47:14,769 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\template\backends\__init__.py first seen with mtime 1715804228.109971
DEBUG 2024-05-16 20:47:14,770 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\locale.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,770 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pkgutil.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,771 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1715804227.751305
DEBUG 2024-05-16 20:47:14,771 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\rest_framework\schemas\__init__.py first seen with mtime 1715804272.7193737
DEBUG 2024-05-16 20:47:14,772 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\importlib\metadata\_meta.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,773 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\lzma.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,773 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\zoneinfo\_tzpath.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,774 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\datetime.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,774 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\handlers\wsgi.py first seen with mtime 1715804227.767312
DEBUG 2024-05-16 20:47:14,775 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\management\color.py first seen with mtime 1715804227.7793095
DEBUG 2024-05-16 20:47:14,776 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\html.py first seen with mtime 1715804228.1762407
DEBUG 2024-05-16 20:47:14,776 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\constants.py first seen with mtime 1715804227.9153051
DEBUG 2024-05-16 20:47:14,777 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\inspect.py first seen with mtime 1715804228.1762407
DEBUG 2024-05-16 20:47:14,777 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\postgres\forms\ranges.py first seen with mtime 1715804226.487922
DEBUG 2024-05-16 20:47:14,778 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\templates.py first seen with mtime 1715804227.735314
DEBUG 2024-05-16 20:47:14,778 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\enum.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,779 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\logging\__init__.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,780 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\files\move.py first seen with mtime 1715804227.751305
DEBUG 2024-05-16 20:47:14,781 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\db\models\sql\datastructures.py first seen with mtime 1715804227.9553075
DEBUG 2024-05-16 20:47:14,781 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\decimal.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,782 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\deconstruct.py first seen with mtime 1715804228.1660452
DEBUG 2024-05-16 20:47:14,783 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\admin\views\main.py first seen with mtime 1715804223.9521797
DEBUG 2024-05-16 20:47:14,783 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\postgres\forms\array.py first seen with mtime 1715804226.4839137
DEBUG 2024-05-16 20:47:14,784 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\checks\compatibility\django_4_0.py first seen with mtime 1715804227.739315
DEBUG 2024-05-16 20:47:14,784 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1715804227.7553105
DEBUG 2024-05-16 20:47:14,785 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\quopri.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,787 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\contrib\sessions\apps.py first seen with mtime 1715804227.0971425
DEBUG 2024-05-16 20:47:14,788 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\pickle.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,789 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\psycopg2\extensions.py first seen with mtime 1715804328.7952876
DEBUG 2024-05-16 20:47:14,789 autoreload File C:\Users\ASUS\Desktop\shi\FitChamp\.venv\Lib\site-packages\django\utils\asyncio.py first seen with mtime 1715804228.151821
DEBUG 2024-05-16 20:47:14,790 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\encodings\utf_8.py first seen with mtime 1712663418.0
DEBUG 2024-05-16 20:47:14,790 autoreload File C:\Users\ASUS\AppData\Local\Programs\Python\Python312\Lib\asyncio\streams.py first seen with mtime 1712663418.0
